OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 212 input buffers.
[INFO RSZ-0028] Inserted 224 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |    174190
      100 |      21 |       0 |             0 |    174090
      200 |      87 |       0 |             0 |    173990
      300 |     169 |       0 |             0 |    173890
      400 |     263 |       0 |             0 |    173790
      500 |     355 |       0 |             0 |    173690
      600 |     373 |       0 |             0 |    173590
      700 |     374 |       0 |             0 |    173490
      800 |     374 |       0 |             0 |    173390
      900 |     374 |       0 |             0 |    173290
     1000 |     374 |       0 |             0 |    173190
     1100 |     374 |       0 |             0 |    173090
     1200 |     374 |       0 |             0 |    172990
     1300 |     375 |       0 |             0 |    172890
     1400 |     391 |       0 |             0 |    172790
     1500 |     400 |       0 |             0 |    172690
     1600 |     406 |       0 |             0 |    172590
     1700 |     425 |       0 |             0 |    172490
     1800 |     425 |       0 |             0 |    172390
     1900 |     426 |       0 |             0 |    172290
     2000 |     429 |       3 |             2 |    172190
     2100 |     429 |       3 |             2 |    172090
     2200 |     433 |       5 |             4 |    171990
     2300 |     437 |       9 |             6 |    171890
     2400 |     437 |       9 |             6 |    171790
     2500 |     437 |       9 |             6 |    171690
     2600 |     440 |      11 |             8 |    171590
     2700 |     440 |      11 |             8 |    171490
     2800 |     440 |      11 |             8 |    171390
     2900 |     448 |      14 |            22 |    171290
     3000 |     448 |      14 |            22 |    171190
     3100 |     451 |      16 |            24 |    171090
     3200 |     451 |      16 |            24 |    170990
     3300 |     454 |      21 |            26 |    170890
     3400 |     454 |      21 |            26 |    170790
     3500 |     459 |      26 |            29 |    170690
     3600 |     459 |      26 |            29 |    170590
     3700 |     460 |      26 |            29 |    170490
     3800 |     462 |      28 |            32 |    170390
     3900 |     462 |      28 |            32 |    170290
     4000 |     463 |      28 |            32 |    170190
     4100 |     464 |      29 |            33 |    170090
     4200 |     466 |      29 |            33 |    169990
     4300 |     469 |      29 |            33 |    169890
     4400 |     469 |      29 |            33 |    169790
     4500 |     473 |      29 |            33 |    169690
     4600 |     477 |      29 |            33 |    169590
     4700 |     484 |      29 |            33 |    169490
     4800 |     484 |      29 |            33 |    169390
     4900 |     487 |      29 |            34 |    169290
     5000 |     498 |      29 |            34 |    169190
     5100 |     505 |      32 |            36 |    169090
     5200 |     507 |      34 |            37 |    168990
     5300 |     513 |      38 |            40 |    168890
     5400 |     517 |      41 |            42 |    168790
     5500 |     518 |      41 |            42 |    168690
     5600 |     526 |      44 |            43 |    168590
     5700 |     532 |      47 |            45 |    168490
     5800 |     547 |      55 |            50 |    168390
     5900 |     550 |      59 |            52 |    168290
     6000 |     551 |      63 |            56 |    168190
     6100 |     577 |      79 |           138 |    168090
     6200 |     593 |      80 |           175 |    167990
     6300 |     603 |      81 |           176 |    167890
     6400 |     604 |      81 |           178 |    167790
     6500 |     606 |      81 |           178 |    167690
     6600 |     606 |      81 |           178 |    167590
     6700 |     606 |      81 |           178 |    167490
     6800 |     609 |      81 |           178 |    167390
     6900 |     621 |      81 |           179 |    167290
     7000 |     639 |      98 |           188 |    167190
     7100 |     640 |     102 |           219 |    167090
     7200 |     642 |     103 |           223 |    166990
     7300 |     642 |     103 |           223 |    166890
     7400 |     645 |     103 |           223 |    166790
     7500 |     659 |     103 |           224 |    166690
     7600 |     660 |     103 |           227 |    166590
     7700 |     660 |     103 |           228 |    166490
     7800 |     684 |     103 |           231 |    166390
     7900 |     696 |     103 |           231 |    166290
     8000 |     718 |     108 |           234 |    166190
     8100 |     718 |     108 |           234 |    166090
     8200 |     725 |     108 |           236 |    165990
     8300 |     729 |     108 |           238 |    165890
     8400 |     729 |     108 |           239 |    165790
     8500 |     729 |     108 |           240 |    165690
     8600 |     729 |     108 |           241 |    165590
     8700 |     729 |     108 |           241 |    165490
     8800 |     731 |     108 |           241 |    165390
     8900 |     733 |     108 |           241 |    165290
     9000 |     733 |     108 |           242 |    165190
     9100 |     733 |     108 |           243 |    165090
     9200 |     733 |     108 |           243 |    164990
     9300 |     733 |     108 |           244 |    164890
     9400 |     733 |     108 |           275 |    164790
     9500 |     733 |     108 |           291 |    164690
     9600 |     733 |     108 |           308 |    164590
     9700 |     733 |     108 |           308 |    164490
     9800 |     733 |     108 |           309 |    164390
     9900 |     733 |     108 |           310 |    164290
    10000 |     735 |     108 |           311 |    164190
    10100 |     742 |     108 |           316 |    164090
    10200 |     745 |     112 |           320 |    163990
    10300 |     748 |     112 |           322 |    163890
    10400 |     748 |     112 |           322 |    163790
    10500 |     748 |     112 |           322 |    163690
    10600 |     748 |     112 |           322 |    163590
    10700 |     748 |     112 |           322 |    163490
    10800 |     748 |     112 |           322 |    163390
    10900 |     765 |     116 |           330 |    163290
    11000 |     765 |     116 |           331 |    163190
    11100 |     765 |     116 |           331 |    163090
    11200 |     767 |     119 |           336 |    162990
    11300 |     770 |     121 |           338 |    162890
    11400 |     770 |     121 |           339 |    162790
    11500 |     778 |     129 |           342 |    162690
    11600 |     778 |     129 |           342 |    162590
    11700 |     801 |     174 |           348 |    162490
    11800 |     823 |     189 |           350 |    162390
    11900 |     849 |     189 |           350 |    162290
    12000 |     862 |     189 |           350 |    162190
    12100 |     882 |     190 |           351 |    162090
    12200 |     888 |     190 |           351 |    161990
    12300 |     916 |     190 |           351 |    161890
    12400 |     942 |     190 |           351 |    161790
    12500 |     974 |     190 |           351 |    161690
    12600 |    1025 |     190 |           351 |    161590
    12700 |    1073 |     190 |           351 |    161490
    12800 |    1107 |     191 |           352 |    161390
    12900 |    1140 |     193 |           353 |    161290
    13000 |    1155 |     196 |           354 |    161190
    13100 |    1168 |     196 |           354 |    161090
    13200 |    1197 |     196 |           354 |    160990
    13300 |    1240 |     196 |           354 |    160890
    13400 |    1269 |     196 |           354 |    160790
    13500 |    1334 |     196 |           354 |    160690
    13600 |    1356 |     196 |           356 |    160590
    13700 |    1412 |     196 |           356 |    160490
    13800 |    1437 |     196 |           369 |    160390
    13900 |    1460 |     197 |           370 |    160290
    14000 |    1483 |     197 |           372 |    160190
    14100 |    1497 |     198 |           376 |    160090
    14200 |    1514 |     200 |           377 |    159990
    14300 |    1514 |     200 |           377 |    159890
    14400 |    1514 |     200 |           377 |    159790
    14500 |    1514 |     200 |           377 |    159690
    14600 |    1514 |     200 |           377 |    159590
    14700 |    1514 |     200 |           379 |    159490
    14800 |    1514 |     200 |           379 |    159390
    14900 |    1514 |     200 |           379 |    159290
    15000 |    1540 |     201 |           380 |    159190
    15100 |    1556 |     201 |           415 |    159090
    15200 |    1556 |     201 |           515 |    158990
    15300 |    1556 |     201 |           615 |    158890
    15400 |    1561 |     215 |           685 |    158790
    15500 |    1568 |     215 |           685 |    158690
    15600 |    1573 |     215 |           686 |    158590
    15700 |    1595 |     215 |           689 |    158490
    15800 |    1608 |     225 |           697 |    158390
    15900 |    1634 |     225 |           697 |    158290
    16000 |    1643 |     225 |           697 |    158190
    16100 |    1649 |     225 |           697 |    158090
    16200 |    1662 |     225 |           697 |    157990
    16300 |    1673 |     228 |           698 |    157890
    16400 |    1695 |     228 |           698 |    157790
    16500 |    1696 |     228 |           698 |    157690
