OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 212 input buffers.
[INFO RSZ-0028] Inserted 224 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |    174190
      100 |      44 |       0 |             0 |    174090
      200 |      97 |       0 |             0 |    173990
      300 |     139 |       0 |             0 |    173890
      400 |     188 |       0 |             0 |    173790
      500 |     223 |       0 |             0 |    173690
      600 |     248 |       0 |             0 |    173590
      700 |     279 |       0 |             0 |    173490
      800 |     303 |       0 |             0 |    173390
      900 |     336 |       0 |             0 |    173290
     1000 |     348 |       0 |             0 |    173190
     1100 |     377 |       0 |             0 |    173090
     1200 |     386 |       0 |             0 |    172990
     1300 |     409 |       0 |             0 |    172890
     1400 |     433 |       0 |             0 |    172790
     1500 |     449 |       0 |             0 |    172690
     1600 |     461 |       0 |             0 |    172590
     1700 |     464 |       0 |             0 |    172490
     1800 |     482 |       0 |             0 |    172390
     1900 |     489 |       0 |             0 |    172290
     2000 |     490 |       4 |             2 |    172190
     2100 |     490 |       4 |             2 |    172090
     2200 |     490 |       7 |             4 |    171990
     2300 |     490 |      10 |             6 |    171890
     2400 |     490 |      10 |             6 |    171790
     2500 |     490 |      10 |             6 |    171690
     2600 |     490 |      13 |             8 |    171590
     2700 |     490 |      13 |             8 |    171490
     2800 |     490 |      13 |             8 |    171390
     2900 |     493 |      17 |            10 |    171290
     3000 |     494 |      17 |            10 |    171190
     3100 |     495 |      20 |            12 |    171090
     3200 |     495 |      20 |            12 |    170990
     3300 |     495 |      23 |            14 |    170890
     3400 |     495 |      23 |            14 |    170790
     3500 |     517 |      26 |            16 |    170690
     3600 |     517 |      26 |            16 |    170590
     3700 |     517 |      26 |            16 |    170490
     3800 |     517 |      26 |            16 |    170390
     3900 |     517 |      26 |            16 |    170290
     4000 |     517 |      26 |            16 |    170190
     4100 |     517 |      26 |            16 |    170090
     4200 |     517 |      26 |            16 |    169990
     4300 |     523 |      26 |            16 |    169890
     4400 |     524 |      26 |            16 |    169790
     4500 |     524 |      26 |            16 |    169690
     4600 |     525 |      26 |            16 |    169590
     4700 |     526 |      27 |            17 |    169490
     4800 |     526 |      27 |            17 |    169390
     4900 |     526 |      27 |            17 |    169290
     5000 |     530 |      27 |            17 |    169190
     5100 |     530 |      29 |            19 |    169090
     5200 |     530 |      31 |            20 |    168990
     5300 |     530 |      36 |            23 |    168890
     5400 |     531 |      39 |            25 |    168790
     5500 |     531 |      39 |            25 |    168690
     5600 |     532 |      42 |            26 |    168590
     5700 |     534 |      45 |            28 |    168490
     5800 |     537 |      54 |            32 |    168390
     5900 |     537 |      57 |            33 |    168290
     6000 |     537 |      61 |            34 |    168190
     6100 |     540 |      80 |            44 |    168090
     6200 |     544 |      81 |            45 |    167990
     6300 |     545 |      82 |            46 |    167890
     6400 |     545 |      82 |            46 |    167790
     6500 |     545 |      83 |            47 |    167690
     6600 |     545 |      83 |            47 |    167590
     6700 |     545 |      83 |            47 |    167490
     6800 |     545 |      83 |            47 |    167390
     6900 |     546 |      83 |            47 |    167290
     7000 |     549 |     101 |            51 |    167190
     7100 |     549 |     104 |            52 |    167090
     7200 |     549 |     104 |            52 |    166990
     7300 |     549 |     104 |            52 |    166890
     7400 |     549 |     104 |            52 |    166790
     7500 |     552 |     104 |            52 |    166690
     7600 |     552 |     104 |            52 |    166590
     7700 |     552 |     104 |            52 |    166490
     7800 |     562 |     104 |            52 |    166390
     7900 |     566 |     104 |            52 |    166290
     8000 |     567 |     110 |            54 |    166190
     8100 |     567 |     110 |            54 |    166090
     8200 |     570 |     110 |            54 |    165990
     8300 |     571 |     110 |            54 |    165890
     8400 |     571 |     110 |            54 |    165790
     8500 |     571 |     110 |            54 |    165690
     8600 |     571 |     110 |            54 |    165590
     8700 |     571 |     110 |            54 |    165490
     8800 |     572 |     110 |            54 |    165390
     8900 |     572 |     110 |            54 |    165290
     9000 |     572 |     110 |            54 |    165190
     9100 |     572 |     110 |            54 |    165090
     9200 |     572 |     110 |            54 |    164990
     9300 |     572 |     110 |            54 |    164890
     9400 |     572 |     110 |            54 |    164790
     9500 |     575 |     110 |            54 |    164690
     9600 |     576 |     110 |            54 |    164590
     9700 |     579 |     110 |            54 |    164490
     9800 |     580 |     110 |            54 |    164390
     9900 |     582 |     110 |            54 |    164290
    10000 |     585 |     110 |            54 |    164190
    10100 |     586 |     110 |            54 |    164090
    10200 |     586 |     117 |            56 |    163990
    10300 |     586 |     117 |            56 |    163890
    10400 |     586 |     117 |            56 |    163790
    10500 |     586 |     117 |            56 |    163690
    10600 |     586 |     117 |            56 |    163590
    10700 |     586 |     117 |            56 |    163490
    10800 |     586 |     117 |            56 |    163390
    10900 |     588 |     120 |            57 |    163290
    11000 |     588 |     120 |            57 |    163190
    11100 |     588 |     120 |            57 |    163090
    11200 |     589 |     125 |            59 |    162990
    11300 |     590 |     128 |            60 |    162890
    11400 |     590 |     128 |            60 |    162790
    11500 |     590 |     137 |            61 |    162690
    11600 |     590 |     137 |            61 |    162590
    11700 |     596 |     182 |            67 |    162490
    11800 |     597 |     198 |            69 |    162390
    11900 |     604 |     198 |            69 |    162290
    12000 |     605 |     198 |            69 |    162190
    12100 |     611 |     200 |            70 |    162090
    12200 |     614 |     200 |            70 |    161990
    12300 |     621 |     200 |            70 |    161890
    12400 |     638 |     200 |            70 |    161790
    12500 |     642 |     200 |            70 |    161690
    12600 |     645 |     200 |            70 |    161590
    12700 |     648 |     200 |            70 |    161490
    12800 |     654 |     201 |            71 |    161390
    12900 |     660 |     202 |            72 |    161290
    13000 |     666 |     205 |            73 |    161190
    13100 |     674 |     205 |            73 |    161090
    13200 |     682 |     205 |            73 |    160990
    13300 |     686 |     205 |            73 |    160890
    13400 |     688 |     205 |            73 |    160790
    13500 |     691 |     205 |            73 |    160690
    13600 |     695 |     205 |            73 |    160590
    13700 |     700 |     205 |            73 |    160490
    13800 |     709 |     205 |            73 |    160390
    13900 |     715 |     206 |            74 |    160290
    14000 |     718 |     206 |            74 |    160190
    14100 |     718 |     207 |            75 |    160090
    14200 |     722 |     209 |            77 |    159990
    14300 |     722 |     209 |            77 |    159890
    14400 |     722 |     209 |            77 |    159790
    14500 |     722 |     209 |            77 |    159690
    14600 |     722 |     209 |            77 |    159590
    14700 |     722 |     209 |            77 |    159490
    14800 |     722 |     209 |            77 |    159390
    14900 |     723 |     209 |            77 |    159290
    15000 |     729 |     210 |            78 |    159190
    15100 |     734 |     210 |            78 |    159090
    15200 |     734 |     210 |            78 |    158990
    15300 |     734 |     210 |            78 |    158890
    15400 |     734 |     223 |            83 |    158790
    15500 |     736 |     223 |            83 |    158690
    15600 |     736 |     223 |            83 |    158590
    15700 |     741 |     223 |            84 |    158490
    15800 |     742 |     233 |            89 |    158390
    15900 |     743 |     233 |            89 |    158290
    16000 |     743 |     233 |            89 |    158190
    16100 |     745 |     235 |            90 |    158090
    16200 |     746 |     235 |            90 |    157990
    16300 |     749 |     239 |            91 |    157890
    16400 |     753 |     239 |            91 |    157790
    16500 |     753 |     239 |            91 |    157690
    16600 |     753 |     239 |            91 |    157590
    16700 |     753 |     239 |            91 |    157490
