OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 212 input buffers.
[INFO RSZ-0028] Inserted 224 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |    174190
      100 |      20 |       0 |             0 |    174090
      200 |      86 |       0 |             0 |    173990
      300 |     168 |       0 |             0 |    173890
      400 |     262 |       0 |             0 |    173790
      500 |     354 |       0 |             0 |    173690
      600 |     372 |       0 |             0 |    173590
      700 |     372 |       0 |             0 |    173490
      800 |     372 |       0 |             0 |    173390
      900 |     372 |       0 |             0 |    173290
     1000 |     372 |       0 |             0 |    173190
     1100 |     372 |       0 |             0 |    173090
     1200 |     372 |       0 |             0 |    172990
     1300 |     373 |       0 |             0 |    172890
     1400 |     389 |       0 |             0 |    172790
     1500 |     398 |       0 |             0 |    172690
     1600 |     404 |       0 |             0 |    172590
     1700 |     423 |       0 |             0 |    172490
     1800 |     423 |       0 |             0 |    172390
     1900 |     424 |       0 |             0 |    172290
     2000 |     427 |       3 |             2 |    172190
     2100 |     427 |       3 |             2 |    172090
     2200 |     430 |       5 |             4 |    171990
     2300 |     434 |       9 |             6 |    171890
     2400 |     434 |       9 |             6 |    171790
     2500 |     434 |       9 |             6 |    171690
     2600 |     437 |      11 |             8 |    171590
     2700 |     437 |      11 |             8 |    171490
     2800 |     437 |      11 |             8 |    171390
     2900 |     451 |      13 |            22 |    171290
     3000 |     452 |      13 |            22 |    171190
     3100 |     455 |      15 |            24 |    171090
     3200 |     455 |      15 |            24 |    170990
     3300 |     458 |      18 |            26 |    170890
     3400 |     458 |      18 |            26 |    170790
     3500 |     463 |      21 |            29 |    170690
     3600 |     463 |      21 |            30 |    170590
     3700 |     464 |      21 |            35 |    170490
     3800 |     466 |      23 |            39 |    170390
     3900 |     466 |      23 |            39 |    170290
     4000 |     467 |      23 |            39 |    170190
     4100 |     468 |      24 |            40 |    170090
     4200 |     473 |      24 |            40 |    169990
     4300 |     476 |      24 |            40 |    169890
     4400 |     476 |      24 |            40 |    169790
     4500 |     480 |      24 |            40 |    169690
     4600 |     485 |      24 |            40 |    169590
     4700 |     492 |      24 |            40 |    169490
     4800 |     492 |      24 |            40 |    169390
     4900 |     495 |      24 |            42 |    169290
     5000 |     542 |      24 |            42 |    169190
     5100 |     561 |      26 |            44 |    169090
     5200 |     563 |      27 |            45 |    168990
     5300 |     570 |      31 |            48 |    168890
     5400 |     576 |      34 |            50 |    168790
     5500 |     577 |      34 |            50 |    168690
     5600 |     585 |      36 |            51 |    168590
     5700 |     592 |      39 |            53 |    168490
     5800 |     606 |      47 |            58 |    168390
     5900 |     609 |      50 |            60 |    168290
     6000 |     610 |      54 |            64 |    168190
     6100 |     648 |      67 |           133 |    168090
     6200 |     696 |      68 |           138 |    167990
     6300 |     705 |      69 |           139 |    167890
     6400 |     706 |      69 |           141 |    167790
     6500 |     708 |      70 |           142 |    167690
     6600 |     708 |      70 |           142 |    167590
     6700 |     708 |      70 |           142 |    167490
     6800 |     711 |      70 |           142 |    167390
     6900 |     725 |      70 |           143 |    167290
     7000 |     742 |      88 |           152 |    167190
     7100 |     743 |      92 |           183 |    167090
     7200 |     745 |      93 |           187 |    166990
     7300 |     745 |      93 |           187 |    166890
     7400 |     748 |      93 |           187 |    166790
     7500 |     811 |      93 |           188 |    166690
     7600 |     812 |      93 |           191 |    166590
     7700 |     812 |      93 |           192 |    166490
     7800 |     877 |      93 |           195 |    166390
     7900 |     890 |      93 |           195 |    166290
     8000 |     912 |      99 |           198 |    166190
     8100 |     912 |      99 |           198 |    166090
     8200 |     919 |      99 |           200 |    165990
     8300 |     922 |      99 |           201 |    165890
     8400 |     922 |      99 |           202 |    165790
     8500 |     922 |      99 |           203 |    165690
     8600 |     922 |      99 |           203 |    165590
     8700 |     922 |      99 |           203 |    165490
     8800 |     924 |      99 |           203 |    165390
     8900 |     926 |      99 |           203 |    165290
     9000 |     926 |      99 |           204 |    165190
     9100 |     926 |      99 |           205 |    165090
     9200 |     926 |      99 |           205 |    164990
     9300 |     926 |      99 |           206 |    164890
     9400 |     926 |      99 |           237 |    164790
     9500 |     926 |      99 |           253 |    164690
     9600 |     926 |      99 |           270 |    164590
     9700 |     926 |      99 |           270 |    164490
     9800 |     926 |      99 |           271 |    164390
     9900 |     926 |      99 |           272 |    164290
    10000 |     928 |      99 |           273 |    164190
    10100 |     935 |      99 |           278 |    164090
    10200 |     940 |     105 |           282 |    163990
    10300 |     943 |     105 |           284 |    163890
    10400 |     943 |     105 |           284 |    163790
    10500 |     943 |     105 |           284 |    163690
    10600 |     943 |     105 |           284 |    163590
    10700 |     943 |     105 |           284 |    163490
    10800 |     943 |     105 |           284 |    163390
    10900 |     958 |     109 |           291 |    163290
    11000 |     958 |     109 |           292 |    163190
    11100 |     958 |     109 |           292 |    163090
    11200 |     960 |     114 |           297 |    162990
    11300 |     963 |     117 |           299 |    162890
    11400 |     963 |     117 |           300 |    162790
    11500 |     971 |     126 |           303 |    162690
    11600 |     971 |     126 |           303 |    162590
    11700 |     994 |     167 |           309 |    162490
    11800 |    1015 |     183 |           311 |    162390
    11900 |    1020 |     183 |           311 |    162290
    12000 |    1029 |     183 |           311 |    162190
    12100 |    1046 |     185 |           312 |    162090
    12200 |    1051 |     185 |           312 |    161990
    12300 |    1070 |     185 |           312 |    161890
    12400 |    1090 |     185 |           312 |    161790
    12500 |    1118 |     185 |           312 |    161690
    12600 |    1173 |     185 |           312 |    161590
    12700 |    1222 |     185 |           312 |    161490
    12800 |    1257 |     186 |           313 |    161390
    12900 |    1293 |     187 |           314 |    161290
    13000 |    1309 |     190 |           315 |    161190
    13100 |    1322 |     190 |           315 |    161090
    13200 |    1351 |     190 |           316 |    160990
    13300 |    1394 |     190 |           316 |    160890
    13400 |    1419 |     190 |           316 |    160790
    13500 |    1482 |     190 |           316 |    160690
    13600 |    1505 |     190 |           318 |    160590
    13700 |    1559 |     190 |           318 |    160490
    13800 |    1581 |     190 |           331 |    160390
    13900 |    1599 |     191 |           332 |    160290
    14000 |    1623 |     191 |           334 |    160190
    14100 |    1634 |     192 |           338 |    160090
    14200 |    1651 |     195 |           339 |    159990
    14300 |    1651 |     195 |           339 |    159890
    14400 |    1651 |     195 |           339 |    159790
    14500 |    1651 |     195 |           339 |    159690
    14600 |    1651 |     195 |           339 |    159590
    14700 |    1651 |     195 |           341 |    159490
    14800 |    1651 |     195 |           341 |    159390
    14900 |    1651 |     195 |           341 |    159290
    15000 |    1676 |     196 |           343 |    159190
    15100 |    1692 |     196 |           371 |    159090
    15200 |    1692 |     196 |           471 |    158990
    15300 |    1692 |     196 |           553 |    158890
    15400 |    1697 |     210 |           622 |    158790
    15500 |    1704 |     210 |           622 |    158690
    15600 |    1709 |     210 |           624 |    158590
    15700 |    1728 |     210 |           627 |    158490
    15800 |    1742 |     221 |           635 |    158390
    15900 |    1768 |     221 |           635 |    158290
    16000 |    1777 |     221 |           635 |    158190
    16100 |    1784 |     221 |           635 |    158090
    16200 |    1797 |     221 |           635 |    157990
    16300 |    1808 |     225 |           636 |    157890
    16400 |    1828 |     225 |           636 |    157790
    16500 |    1829 |     225 |           636 |    157690
