OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 149 input buffers.
[INFO RSZ-0028] Inserted 100 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     17985
      100 |       0 |       0 |             0 |     17885
      200 |       0 |       0 |             0 |     17785
      300 |       3 |       0 |             0 |     17685
      400 |      12 |       0 |             0 |     17585
      500 |      12 |       0 |             0 |     17485
      600 |      33 |       0 |             0 |     17385
      700 |      51 |       0 |             0 |     17285
      800 |      52 |       0 |             0 |     17185
      900 |      53 |       0 |             0 |     17085
     1000 |      63 |       0 |             0 |     16985
     1100 |      66 |       0 |             0 |     16885
     1200 |      67 |       0 |             0 |     16785
     1300 |      67 |       0 |             0 |     16685
     1400 |      86 |      13 |             3 |     16585
     1500 |     107 |      13 |             3 |     16485
     1600 |     112 |      13 |             3 |     16385
     1700 |     128 |      13 |             3 |     16285
     1800 |     148 |      13 |             3 |     16185
     1900 |     158 |      13 |             3 |     16085
     2000 |     170 |      13 |             3 |     15985
     2100 |     186 |      13 |             3 |     15885
     2200 |     214 |      13 |             3 |     15785
     2300 |     236 |      13 |             3 |     15685
     2400 |     246 |      13 |             3 |     15585
     2500 |     276 |      15 |             4 |     15485
     2600 |     297 |      16 |             5 |     15385
     2700 |     322 |      16 |             5 |     15285
     2800 |     323 |      16 |             5 |     15185
     2900 |     325 |      16 |             5 |     15085
     3000 |     325 |      16 |             5 |     14985
     3100 |     335 |      16 |             5 |     14885
     3200 |     357 |      17 |             6 |     14785
     3300 |     365 |      17 |             6 |     14685
     3400 |     365 |      17 |             6 |     14585
     3500 |     369 |      18 |             7 |     14485
     3600 |     373 |      18 |             7 |     14385
     3700 |     377 |      18 |             7 |     14285
     3800 |     386 |      18 |             7 |     14185
     3900 |     392 |      18 |             7 |     14085
     4000 |     395 |      18 |             7 |     13985
     4100 |     399 |      18 |             7 |     13885
     4200 |     417 |      18 |             7 |     13785
     4300 |     436 |      18 |             7 |     13685
     4400 |     437 |      18 |             7 |     13585
     4500 |     438 |      18 |             7 |     13485
     4600 |     442 |      18 |             7 |     13385
     4700 |     514 |      18 |             7 |     13285
     4800 |     554 |      18 |             7 |     13185
     4900 |     571 |      18 |             7 |     13085
     5000 |     599 |      20 |             8 |     12985
     5100 |     617 |      21 |             9 |     12885
     5200 |     623 |      21 |             9 |     12785
     5300 |     640 |      27 |            11 |     12685
     5400 |     664 |      29 |            13 |     12585
     5500 |     695 |      33 |            16 |     12485
     5600 |     722 |      33 |            16 |     12385
     5700 |     765 |      33 |            16 |     12285
     5800 |     781 |      33 |            16 |     12185
     5900 |     782 |      35 |            18 |     12085
     6000 |     819 |      35 |            18 |     11985
     6100 |     879 |      36 |            19 |     11885
     6200 |     887 |      36 |            19 |     11785
     6300 |     928 |      36 |            19 |     11685
     6400 |     955 |      38 |            20 |     11585
     6500 |     955 |      38 |            20 |     11485
     6600 |     982 |      38 |            20 |     11385
     6700 |    1017 |      38 |            20 |     11285
     6800 |    1026 |      38 |            20 |     11185
     6900 |    1034 |      38 |            20 |     11085
     7000 |    1056 |      38 |            20 |     10985
     7100 |    1065 |      42 |            23 |     10885
     7200 |    1068 |      42 |            23 |     10785
     7300 |    1084 |      42 |            23 |     10685
     7400 |    1117 |      45 |            25 |     10585
     7500 |    1131 |      54 |            26 |     10485
     7600 |    1157 |      56 |            28 |     10385
     7700 |    1168 |      56 |            28 |     10285
     7800 |    1175 |      56 |            28 |     10185
     7900 |    1175 |      56 |            28 |     10085
     8000 |    1200 |      61 |            31 |      9985
     8100 |    1207 |      61 |            31 |      9885
     8200 |    1207 |      61 |            31 |      9785
     8300 |    1221 |      61 |            31 |      9685
     8400 |    1243 |      61 |            31 |      9585
     8500 |    1250 |      61 |            31 |      9485
     8600 |    1275 |      61 |            31 |      9385
     8700 |    1295 |      61 |            33 |      9285
     8800 |    1308 |      61 |            33 |      9185
     8900 |    1324 |      61 |            33 |      9085
     9000 |    1342 |      61 |            33 |      8985
     9100 |    1384 |      61 |            33 |      8885
     9200 |    1398 |      62 |            34 |      8785
     9300 |    1438 |      62 |            34 |      8685
     9400 |    1489 |      64 |            36 |      8585
     9500 |    1540 |      68 |            39 |      8485
     9600 |    1557 |      68 |            39 |      8385
     9700 |    1603 |      68 |            39 |      8285
     9800 |    1668 |      69 |            40 |      8185
     9900 |    1728 |      71 |            41 |      8085
    10000 |    1757 |      71 |            41 |      7985
    10100 |    1772 |      71 |            41 |      7885
    10200 |    1835 |      74 |            43 |      7785
    10300 |    1890 |      75 |            44 |      7685
    10400 |    1919 |      77 |            46 |      7585
    10500 |    1959 |      81 |            50 |      7485
    10600 |    2001 |      81 |            50 |      7385
    10700 |    2060 |      84 |            53 |      7285
    10800 |    2090 |      84 |            54 |      7185
    10900 |    2118 |      84 |            54 |      7085
    11000 |    2149 |      84 |            61 |      6985
    11100 |    2168 |      84 |            71 |      6885
    11200 |    2200 |      84 |            84 |      6785
    11300 |    2245 |      84 |            87 |      6685
    11400 |    2281 |      84 |            88 |      6585
    11500 |    2310 |      84 |            88 |      6485
    11600 |    2329 |      84 |            97 |      6385
    11700 |    2331 |      84 |           118 |      6285
    11800 |    2331 |      84 |           136 |      6185
    11900 |    2332 |      84 |           159 |      6085
    12000 |    2343 |      84 |           180 |      5985
    12100 |    2367 |      84 |           197 |      5885
    12200 |    2408 |      85 |           206 |      5785
    12300 |    2418 |      86 |           207 |      5685
    12400 |    2424 |      86 |           207 |      5585
    12500 |    2427 |      86 |           207 |      5485
    12600 |    2441 |      87 |           208 |      5385
    12700 |    2479 |      88 |           209 |      5285
    12800 |    2479 |      88 |           216 |      5185
    12900 |    2479 |      88 |           222 |      5085
    13000 |    2479 |      88 |           228 |      4985
    13100 |    2479 |      88 |           235 |      4885
    13200 |    2479 |      88 |           242 |      4785
    13300 |    2479 |      88 |           248 |      4685
    13400 |    2480 |      88 |           255 |      4585
    13500 |    2482 |      88 |           262 |      4485
    13600 |    2485 |      88 |           269 |      4385
    13700 |    2503 |      89 |           280 |      4285
    13800 |    2538 |      89 |           282 |      4185
    13900 |    2540 |      91 |           284 |      4085
    14000 |    2541 |      91 |           284 |      3985
    14100 |    2547 |     143 |           294 |      3885
    14200 |    2547 |     144 |           295 |      3785
    14300 |    2547 |     144 |           295 |      3685
    14400 |    2547 |     144 |           295 |      3585
    14500 |    2557 |     144 |           295 |      3485
    14600 |    2569 |     144 |           295 |      3385
    14700 |    2571 |     144 |           295 |      3285
    14800 |    2576 |     144 |           295 |      3185
    14900 |    2577 |     144 |           295 |      3085
    15000 |    2577 |     144 |           295 |      2985
    15100 |    2577 |     144 |           295 |      2885
    15200 |    2577 |     144 |           295 |      2785
    15300 |    2577 |     144 |           295 |      2685
    15400 |    2578 |     144 |           295 |      2585
    15500 |    2578 |     144 |           295 |      2485
    15600 |    2578 |     144 |           295 |      2385
    15700 |    2579 |     144 |           295 |      2285
    15800 |    2579 |     144 |           295 |      2185
    15900 |    2579 |     144 |           295 |      2085
    16000 |    2579 |     144 |           295 |      1985
    16100 |    2579 |     144 |           295 |      1885
    16200 |    2579 |     144 |           295 |      1785
    16300 |    2579 |     144 |           295 |      1685
    16400 |    2579 |     144 |           295 |      1585
    16500 |    2579 |     144 |           295 |      1485
    16600 |    2579 |     144 |           295 |      1385
    16700 |    2579 |     144 |           295 |      1285
    16800 |    2579 |     144 |           295 |      1185
    16900 |    2579 |     144 |           295 |      1085
    17000 |    2579 |     144 |           295 |       985
    17100 |    2579 |     144 |           295 |       885
    17200 |    2579 |     144 |           295 |       785
    17300 |    2579 |     144 |           295 |       685
    17400 |    2579 |     144 |           295 |       585
    17500 |    2579 |     144 |           295 |       485
    17600 |    2579 |     144 |           295 |       385
    17700 |    2584 |     144 |           295 |       285
    17800 |    2622 |     154 |           296 |       185
    17900 |    2634 |     154 |           296 |        85
    final |    2634 |     154 |           296 |         0
---------------------------------------------------------
[INFO RSZ-0034] Found 261 slew violations.
[INFO RSZ-0036] Found 68 capacitance violations.
[INFO RSZ-0038] Inserted 154 buffers in 296 nets.
[INFO RSZ-0039] Resized 2634 instances.
Repair tie lo fanout...
[INFO RSZ-0042] Inserted 6 tie LOGIC0_X1 instances.
Repair tie hi fanout...
Floating nets: 
Report metrics stage 3, resizer...

==========================================================================
resizer report_design_area
--------------------------------------------------------------------------
Design area 31995 u^2 56% utilization.
Instance count before 15499, after 15907
Pin count before 58899, after 59710
Elapsed time: 0:23.24[h:]min:sec. CPU time: user 32.31 sys 9.05 (177%). Peak memory: 357320KB.
