OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 149 input buffers.
[INFO RSZ-0028] Inserted 100 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     17985
      100 |       0 |       0 |             0 |     17885
      200 |       0 |       0 |             0 |     17785
      300 |       0 |       0 |             0 |     17685
      400 |       0 |       0 |             0 |     17585
      500 |       0 |       0 |             0 |     17485
      600 |       0 |       0 |             0 |     17385
      700 |       0 |       0 |             0 |     17285
      800 |       0 |       0 |             0 |     17185
      900 |       0 |       0 |             0 |     17085
     1000 |       0 |       0 |             0 |     16985
     1100 |       0 |       0 |             0 |     16885
     1200 |       0 |       0 |             0 |     16785
     1300 |       0 |       0 |             0 |     16685
     1400 |       3 |      14 |             3 |     16585
     1500 |       3 |      14 |             3 |     16485
     1600 |       4 |      14 |             3 |     16385
     1700 |       9 |      14 |             3 |     16285
     1800 |      15 |      14 |             3 |     16185
     1900 |      19 |      14 |             3 |     16085
     2000 |      20 |      14 |             3 |     15985
     2100 |      20 |      14 |             3 |     15885
     2200 |      23 |      14 |             3 |     15785
     2300 |      27 |      14 |             3 |     15685
     2400 |      28 |      14 |             3 |     15585
     2500 |      33 |      16 |             4 |     15485
     2600 |      35 |      17 |             5 |     15385
     2700 |      36 |      17 |             5 |     15285
     2800 |      36 |      17 |             5 |     15185
     2900 |      37 |      17 |             5 |     15085
     3000 |      37 |      17 |             5 |     14985
     3100 |      39 |      17 |             5 |     14885
     3200 |      42 |      18 |             6 |     14785
     3300 |      43 |      18 |             6 |     14685
     3400 |      43 |      18 |             6 |     14585
     3500 |      43 |      19 |             7 |     14485
     3600 |      43 |      19 |             7 |     14385
     3700 |      43 |      19 |             7 |     14285
     3800 |      43 |      19 |             7 |     14185
     3900 |      43 |      19 |             7 |     14085
     4000 |      43 |      19 |             7 |     13985
     4100 |      43 |      19 |             7 |     13885
     4200 |      46 |      19 |             7 |     13785
     4300 |      48 |      19 |             7 |     13685
     4400 |      48 |      19 |             7 |     13585
     4500 |      48 |      19 |             7 |     13485
     4600 |      48 |      19 |             7 |     13385
     4700 |      50 |      19 |             7 |     13285
     4800 |      52 |      19 |             7 |     13185
     4900 |      54 |      19 |             7 |     13085
     5000 |      54 |      21 |             8 |     12985
     5100 |      54 |      23 |             9 |     12885
     5200 |      54 |      23 |             9 |     12785
     5300 |      54 |      30 |            11 |     12685
     5400 |      55 |      34 |            13 |     12585
     5500 |      59 |      38 |            16 |     12485
     5600 |      61 |      38 |            16 |     12385
     5700 |      67 |      38 |            16 |     12285
     5800 |      68 |      38 |            16 |     12185
     5900 |      68 |      40 |            18 |     12085
     6000 |      72 |      40 |            18 |     11985
     6100 |      76 |      42 |            20 |     11885
     6200 |      77 |      42 |            20 |     11785
     6300 |      81 |      42 |            20 |     11685
     6400 |      81 |      44 |            21 |     11585
     6500 |      81 |      44 |            21 |     11485
     6600 |      88 |      44 |            21 |     11385
     6700 |      91 |      44 |            21 |     11285
     6800 |      91 |      44 |            21 |     11185
     6900 |      91 |      44 |            21 |     11085
     7000 |      96 |      44 |            21 |     10985
     7100 |      96 |      48 |            24 |     10885
     7200 |      97 |      48 |            24 |     10785
     7300 |      98 |      48 |            24 |     10685
     7400 |     103 |      51 |            26 |     10585
     7500 |     103 |      60 |            27 |     10485
     7600 |     107 |      62 |            29 |     10385
     7700 |     109 |      62 |            29 |     10285
     7800 |     110 |      62 |            29 |     10185
     7900 |     110 |      62 |            29 |     10085
     8000 |     112 |      66 |            32 |      9985
     8100 |     113 |      66 |            32 |      9885
     8200 |     113 |      66 |            32 |      9785
     8300 |     116 |      66 |            32 |      9685
     8400 |     116 |      66 |            32 |      9585
     8500 |     116 |      66 |            32 |      9485
     8600 |     116 |      66 |            32 |      9385
     8700 |     117 |      66 |            32 |      9285
     8800 |     119 |      66 |            32 |      9185
     8900 |     122 |      66 |            32 |      9085
     9000 |     122 |      66 |            32 |      8985
     9100 |     124 |      66 |            32 |      8885
     9200 |     125 |      67 |            33 |      8785
     9300 |     128 |      67 |            33 |      8685
     9400 |     131 |      69 |            35 |      8585
     9500 |     135 |      72 |            36 |      8485
     9600 |     139 |      72 |            36 |      8385
     9700 |     145 |      72 |            36 |      8285
     9800 |     147 |      73 |            37 |      8185
     9900 |     149 |      75 |            38 |      8085
    10000 |     153 |      75 |            38 |      7985
    10100 |     153 |      75 |            38 |      7885
    10200 |     154 |      79 |            41 |      7785
    10300 |     159 |      80 |            42 |      7685
    10400 |     161 |      82 |            44 |      7585
    10500 |     165 |      85 |            46 |      7485
    10600 |     170 |      85 |            46 |      7385
    10700 |     174 |      87 |            48 |      7285
    10800 |     176 |      87 |            48 |      7185
    10900 |     178 |      87 |            48 |      7085
    11000 |     181 |      87 |            48 |      6985
    11100 |     185 |      87 |            48 |      6885
    11200 |     190 |      87 |            48 |      6785
    11300 |     193 |      87 |            49 |      6685
    11400 |     196 |      87 |            49 |      6585
    11500 |     197 |      87 |            49 |      6485
    11600 |     200 |      87 |            50 |      6385
    11700 |     200 |      87 |            50 |      6285
    11800 |     200 |      87 |            50 |      6185
    11900 |     202 |      87 |            50 |      6085
    12000 |     202 |      87 |            50 |      5985
    12100 |     205 |      87 |            53 |      5885
    12200 |     206 |      87 |            55 |      5785
    12300 |     210 |      88 |            56 |      5685
    12400 |     213 |      88 |            56 |      5585
    12500 |     213 |      88 |            56 |      5485
    12600 |     213 |      89 |            57 |      5385
    12700 |     213 |      90 |            58 |      5285
    12800 |     213 |      90 |            58 |      5185
    12900 |     213 |      90 |            58 |      5085
    13000 |     213 |      90 |            58 |      4985
    13100 |     213 |      90 |            58 |      4885
    13200 |     213 |      90 |            58 |      4785
    13300 |     213 |      90 |            58 |      4685
    13400 |     213 |      90 |            58 |      4585
    13500 |     213 |      90 |            58 |      4485
    13600 |     213 |      90 |            58 |      4385
    13700 |     213 |      91 |            61 |      4285
    13800 |     216 |      91 |            61 |      4185
    13900 |     218 |      93 |            63 |      4085
    14000 |     243 |      93 |            63 |      3985
    14100 |     258 |     142 |            73 |      3885
    14200 |     260 |     143 |            74 |      3785
    14300 |     260 |     143 |            74 |      3685
    14400 |     261 |     143 |            74 |      3585
    14500 |     262 |     143 |            74 |      3485
    14600 |     263 |     143 |            74 |      3385
    14700 |     263 |     143 |            74 |      3285
    14800 |     264 |     143 |            74 |      3185
    14900 |     264 |     143 |            74 |      3085
    15000 |     264 |     143 |            74 |      2985
    15100 |     264 |     143 |            74 |      2885
    15200 |     264 |     143 |            74 |      2785
    15300 |     264 |     143 |            74 |      2685
    15400 |     266 |     143 |            74 |      2585
    15500 |     267 |     143 |            74 |      2485
    15600 |     267 |     143 |            74 |      2385
    15700 |     269 |     143 |            74 |      2285
    15800 |     269 |     143 |            74 |      2185
    15900 |     269 |     143 |            74 |      2085
    16000 |     269 |     143 |            74 |      1985
    16100 |     269 |     143 |            74 |      1885
    16200 |     269 |     143 |            74 |      1785
    16300 |     269 |     143 |            74 |      1685
    16400 |     269 |     143 |            74 |      1585
    16500 |     269 |     143 |            74 |      1485
    16600 |     269 |     143 |            74 |      1385
    16700 |     269 |     143 |            74 |      1285
    16800 |     269 |     143 |            74 |      1185
    16900 |     269 |     143 |            74 |      1085
    17000 |     269 |     143 |            74 |       985
    17100 |     269 |     143 |            74 |       885
    17200 |     269 |     143 |            74 |       785
    17300 |     269 |     143 |            74 |       685
    17400 |     269 |     143 |            74 |       585
    17500 |     269 |     143 |            74 |       485
    17600 |     269 |     143 |            74 |       385
    17700 |     278 |     143 |            74 |       285
    17800 |     320 |     154 |            75 |       185
    17900 |     337 |     154 |            75 |        85
    final |     337 |     154 |            75 |         0
---------------------------------------------------------
[INFO RSZ-0034] Found 42 slew violations.
[INFO RSZ-0036] Found 66 capacitance violations.
[INFO RSZ-0038] Inserted 154 buffers in 75 nets.
[INFO RSZ-0039] Resized 337 instances.
Repair tie lo fanout...
[INFO RSZ-0042] Inserted 6 tie LOGIC0_X1 instances.
Repair tie hi fanout...
Floating nets: 
Report metrics stage 3, resizer...

==========================================================================
resizer report_design_area
--------------------------------------------------------------------------
Design area 32142 u^2 57% utilization.
Instance count before 15499, after 15907
Pin count before 58899, after 59710
Elapsed time: 0:24.96[h:]min:sec. CPU time: user 32.06 sys 7.28 (157%). Peak memory: 340688KB.
