OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 149 input buffers.
[INFO RSZ-0028] Inserted 100 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     17985
      100 |       0 |       0 |             0 |     17885
      200 |       0 |       0 |             0 |     17785
      300 |       3 |       0 |             0 |     17685
      400 |      12 |       0 |             0 |     17585
      500 |      12 |       0 |             0 |     17485
      600 |      32 |       0 |             0 |     17385
      700 |      50 |       0 |             0 |     17285
      800 |      51 |       0 |             0 |     17185
      900 |      52 |       0 |             0 |     17085
     1000 |      63 |       0 |             0 |     16985
     1100 |      66 |       0 |             0 |     16885
     1200 |      67 |       0 |             0 |     16785
     1300 |      67 |       0 |             0 |     16685
     1400 |      85 |      13 |             3 |     16585
     1500 |     105 |      13 |             3 |     16485
     1600 |     110 |      13 |             3 |     16385
     1700 |     123 |      13 |             3 |     16285
     1800 |     141 |      13 |             3 |     16185
     1900 |     149 |      13 |             3 |     16085
     2000 |     161 |      13 |             3 |     15985
     2100 |     177 |      13 |             3 |     15885
     2200 |     203 |      13 |             3 |     15785
     2300 |     226 |      13 |             3 |     15685
     2400 |     236 |      13 |             3 |     15585
     2500 |     265 |      15 |             4 |     15485
     2600 |     284 |      16 |             5 |     15385
     2700 |     310 |      16 |             5 |     15285
     2800 |     311 |      16 |             5 |     15185
     2900 |     312 |      16 |             5 |     15085
     3000 |     312 |      16 |             5 |     14985
     3100 |     324 |      16 |             5 |     14885
     3200 |     348 |      17 |             6 |     14785
     3300 |     355 |      17 |             6 |     14685
     3400 |     355 |      17 |             6 |     14585
     3500 |     359 |      18 |             7 |     14485
     3600 |     363 |      18 |             7 |     14385
     3700 |     367 |      18 |             7 |     14285
     3800 |     376 |      18 |             7 |     14185
     3900 |     382 |      18 |             7 |     14085
     4000 |     385 |      18 |             7 |     13985
     4100 |     389 |      18 |             7 |     13885
     4200 |     407 |      18 |             7 |     13785
     4300 |     427 |      18 |             7 |     13685
     4400 |     429 |      18 |             7 |     13585
     4500 |     430 |      18 |             7 |     13485
     4600 |     434 |      18 |             7 |     13385
     4700 |     505 |      18 |             7 |     13285
     4800 |     546 |      18 |             7 |     13185
     4900 |     563 |      18 |             7 |     13085
     5000 |     591 |      20 |             8 |     12985
     5100 |     609 |      21 |             9 |     12885
     5200 |     615 |      21 |             9 |     12785
     5300 |     632 |      29 |            11 |     12685
     5400 |     656 |      32 |            13 |     12585
     5500 |     687 |      36 |            16 |     12485
     5600 |     714 |      36 |            16 |     12385
     5700 |     756 |      36 |            16 |     12285
     5800 |     772 |      36 |            16 |     12185
     5900 |     773 |      37 |            17 |     12085
     6000 |     809 |      37 |            17 |     11985
     6100 |     870 |      38 |            18 |     11885
     6200 |     878 |      38 |            18 |     11785
     6300 |     916 |      38 |            18 |     11685
     6400 |     947 |      40 |            19 |     11585
     6500 |     947 |      40 |            19 |     11485
     6600 |     973 |      40 |            19 |     11385
     6700 |    1010 |      40 |            19 |     11285
     6800 |    1020 |      40 |            19 |     11185
     6900 |    1028 |      40 |            19 |     11085
     7000 |    1049 |      40 |            19 |     10985
     7100 |    1058 |      44 |            22 |     10885
     7200 |    1061 |      44 |            22 |     10785
     7300 |    1077 |      44 |            22 |     10685
     7400 |    1108 |      47 |            24 |     10585
     7500 |    1123 |      56 |            25 |     10485
     7600 |    1151 |      58 |            27 |     10385
     7700 |    1163 |      58 |            27 |     10285
     7800 |    1170 |      58 |            27 |     10185
     7900 |    1170 |      58 |            27 |     10085
     8000 |    1197 |      63 |            30 |      9985
     8100 |    1204 |      63 |            30 |      9885
     8200 |    1204 |      63 |            30 |      9785
     8300 |    1221 |      63 |            30 |      9685
     8400 |    1242 |      63 |            30 |      9585
     8500 |    1249 |      63 |            30 |      9485
     8600 |    1275 |      63 |            30 |      9385
     8700 |    1296 |      63 |            32 |      9285
     8800 |    1310 |      63 |            32 |      9185
     8900 |    1324 |      63 |            32 |      9085
     9000 |    1340 |      63 |            32 |      8985
     9100 |    1385 |      63 |            32 |      8885
     9200 |    1402 |      64 |            33 |      8785
     9300 |    1443 |      64 |            33 |      8685
     9400 |    1497 |      67 |            35 |      8585
     9500 |    1546 |      70 |            37 |      8485
     9600 |    1565 |      70 |            37 |      8385
     9700 |    1614 |      70 |            37 |      8285
     9800 |    1680 |      71 |            38 |      8185
     9900 |    1738 |      73 |            39 |      8085
    10000 |    1767 |      73 |            39 |      7985
    10100 |    1782 |      73 |            39 |      7885
    10200 |    1845 |      76 |            41 |      7785
    10300 |    1900 |      77 |            42 |      7685
    10400 |    1929 |      79 |            44 |      7585
    10500 |    1969 |      83 |            48 |      7485
    10600 |    2010 |      83 |            48 |      7385
    10700 |    2067 |      86 |            51 |      7285
    10800 |    2098 |      86 |            52 |      7185
    10900 |    2127 |      86 |            52 |      7085
    11000 |    2156 |      86 |            59 |      6985
    11100 |    2174 |      86 |            69 |      6885
    11200 |    2205 |      86 |            82 |      6785
    11300 |    2247 |      86 |            85 |      6685
    11400 |    2285 |      86 |            86 |      6585
    11500 |    2313 |      86 |            86 |      6485
    11600 |    2334 |      86 |            95 |      6385
    11700 |    2336 |      86 |           116 |      6285
    11800 |    2336 |      86 |           134 |      6185
    11900 |    2336 |      86 |           157 |      6085
    12000 |    2342 |      86 |           179 |      5985
    12100 |    2367 |      86 |           195 |      5885
    12200 |    2411 |      86 |           204 |      5785
    12300 |    2420 |      87 |           205 |      5685
    12400 |    2426 |      87 |           205 |      5585
    12500 |    2429 |      87 |           205 |      5485
    12600 |    2444 |      88 |           206 |      5385
    12700 |    2482 |      89 |           207 |      5285
    12800 |    2482 |      89 |           214 |      5185
    12900 |    2482 |      89 |           220 |      5085
    13000 |    2482 |      89 |           226 |      4985
    13100 |    2482 |      89 |           233 |      4885
    13200 |    2482 |      89 |           240 |      4785
    13300 |    2482 |      89 |           246 |      4685
    13400 |    2483 |      89 |           253 |      4585
    13500 |    2485 |      89 |           260 |      4485
    13600 |    2488 |      89 |           267 |      4385
    13700 |    2505 |      90 |           278 |      4285
    13800 |    2539 |      90 |           280 |      4185
    13900 |    2541 |      92 |           282 |      4085
    14000 |    2541 |      92 |           282 |      3985
    14100 |    2546 |     140 |           292 |      3885
    14200 |    2546 |     141 |           293 |      3785
    14300 |    2546 |     141 |           293 |      3685
    14400 |    2546 |     142 |           294 |      3585
    14500 |    2556 |     142 |           294 |      3485
    14600 |    2569 |     142 |           294 |      3385
    14700 |    2571 |     142 |           294 |      3285
    14800 |    2576 |     142 |           294 |      3185
    14900 |    2577 |     142 |           294 |      3085
    15000 |    2577 |     142 |           294 |      2985
    15100 |    2577 |     142 |           294 |      2885
    15200 |    2577 |     142 |           294 |      2785
    15300 |    2577 |     142 |           294 |      2685
    15400 |    2578 |     142 |           294 |      2585
    15500 |    2578 |     142 |           294 |      2485
    15600 |    2578 |     142 |           294 |      2385
    15700 |    2579 |     142 |           294 |      2285
    15800 |    2579 |     142 |           294 |      2185
    15900 |    2579 |     142 |           294 |      2085
    16000 |    2579 |     142 |           294 |      1985
    16100 |    2579 |     142 |           294 |      1885
    16200 |    2579 |     142 |           294 |      1785
    16300 |    2579 |     142 |           294 |      1685
    16400 |    2579 |     142 |           294 |      1585
    16500 |    2579 |     142 |           294 |      1485
    16600 |    2579 |     142 |           294 |      1385
    16700 |    2579 |     142 |           294 |      1285
    16800 |    2579 |     142 |           294 |      1185
    16900 |    2579 |     142 |           294 |      1085
    17000 |    2579 |     142 |           294 |       985
    17100 |    2579 |     142 |           294 |       885
    17200 |    2579 |     142 |           294 |       785
    17300 |    2579 |     142 |           294 |       685
    17400 |    2579 |     142 |           294 |       585
    17500 |    2579 |     142 |           294 |       485
    17600 |    2579 |     142 |           294 |       385
    17700 |    2584 |     142 |           294 |       285
    17800 |    2621 |     153 |           295 |       185
    17900 |    2631 |     153 |           295 |        85
    final |    2631 |     153 |           295 |         0
---------------------------------------------------------
[INFO RSZ-0034] Found 262 slew violations.
[INFO RSZ-0036] Found 65 capacitance violations.
[INFO RSZ-0038] Inserted 153 buffers in 295 nets.
[INFO RSZ-0039] Resized 2631 instances.
Repair tie lo fanout...
[INFO RSZ-0042] Inserted 6 tie LOGIC0_X1 instances.
Repair tie hi fanout...
Floating nets: 
Report metrics stage 3, resizer...

==========================================================================
resizer report_design_area
--------------------------------------------------------------------------
Design area 32016 u^2 56% utilization.
Instance count before 15499, after 15906
Pin count before 58899, after 59708
Elapsed time: 0:23.28[h:]min:sec. CPU time: user 31.52 sys 8.06 (170%). Peak memory: 340856KB.
