OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 19 input buffers.
[INFO RSZ-0028] Inserted 26 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     80420
      100 |       0 |       0 |            82 |     80320
      200 |       0 |       0 |           156 |     80220
      300 |       1 |       0 |           217 |     80120
      400 |       1 |       0 |           277 |     80020
      500 |       3 |       0 |           325 |     79920
      600 |       5 |       0 |           343 |     79820
      700 |       7 |       0 |           364 |     79720
      800 |       7 |       0 |           395 |     79620
      900 |       8 |       0 |           421 |     79520
     1000 |       8 |       0 |           458 |     79420
     1100 |       8 |       0 |           496 |     79320
     1200 |       8 |       0 |           529 |     79220
     1300 |       8 |       0 |           547 |     79120
     1400 |      10 |       0 |           566 |     79020
     1500 |      10 |       0 |           590 |     78920
     1600 |      10 |       0 |           605 |     78820
     1700 |      11 |       0 |           630 |     78720
     1800 |      11 |       0 |           654 |     78620
     1900 |      12 |       0 |           676 |     78520
     2000 |      12 |       0 |           686 |     78420
     2100 |      12 |       0 |           698 |     78320
     2200 |      12 |       0 |           710 |     78220
     2300 |      13 |       0 |           722 |     78120
     2400 |      13 |       0 |           758 |     78020
     2500 |      14 |       0 |           773 |     77920
     2600 |      14 |       0 |           789 |     77820
     2700 |      14 |       0 |           798 |     77720
     2800 |      17 |       0 |           812 |     77620
     2900 |      17 |       0 |           823 |     77520
     3000 |      17 |       0 |           829 |     77420
     3100 |      17 |       0 |           835 |     77320
     3200 |      18 |       0 |           841 |     77220
     3300 |      18 |       0 |           848 |     77120
     3400 |      20 |       0 |           855 |     77020
     3500 |      21 |       0 |           867 |     76920
     3600 |      21 |       0 |           887 |     76820
     3700 |      21 |       0 |           889 |     76720
     3800 |      21 |       0 |           895 |     76620
     3900 |      22 |       0 |           901 |     76520
     4000 |      22 |       0 |           907 |     76420
     4100 |      22 |       0 |           912 |     76320
     4200 |      22 |       0 |           918 |     76220
     4300 |      22 |       0 |           921 |     76120
     4400 |      22 |       0 |           943 |     76020
     4500 |      22 |       0 |           947 |     75920
     4600 |      22 |       0 |           950 |     75820
     4700 |      22 |       0 |           954 |     75720
     4800 |      22 |       0 |           957 |     75620
     4900 |      22 |       0 |           961 |     75520
     5000 |      22 |       0 |           964 |     75420
     5100 |      22 |       0 |           966 |     75320
     5200 |      22 |       0 |           967 |     75220
     5300 |      22 |       0 |           972 |     75120
     5400 |      23 |       0 |           976 |     75020
     5500 |      23 |       0 |           976 |     74920
     5600 |      23 |       0 |           976 |     74820
     5700 |      23 |       0 |           976 |     74720
     5800 |      23 |       0 |           976 |     74620
     5900 |      23 |       0 |           980 |     74520
     6000 |      24 |       0 |          1003 |     74420
     6100 |      27 |       0 |          1023 |     74320
     6200 |      27 |       0 |          1036 |     74220
     6300 |      27 |       0 |          1048 |     74120
     6400 |      27 |       0 |          1060 |     74020
     6500 |      27 |       0 |          1069 |     73920
     6600 |      27 |       0 |          1071 |     73820
     6700 |      27 |       0 |          1072 |     73720
     6800 |      28 |       0 |          1082 |     73620
     6900 |      28 |       0 |          1093 |     73520
     7000 |      29 |       0 |          1109 |     73420
     7100 |      31 |       0 |          1124 |     73320
     7200 |      31 |       0 |          1136 |     73220
     7300 |      31 |       0 |          1147 |     73120
     7400 |      31 |       0 |          1157 |     73020
     7500 |      31 |       0 |          1168 |     72920
     7600 |      31 |       0 |          1178 |     72820
     7700 |      31 |       0 |          1188 |     72720
     7800 |      31 |       0 |          1201 |     72620
     7900 |      31 |       0 |          1216 |     72520
     8000 |      31 |       0 |          1216 |     72420
     8100 |      31 |       0 |          1216 |     72320
     8200 |      31 |       0 |          1216 |     72220
     8300 |      31 |       0 |          1216 |     72120
     8400 |      31 |       0 |          1216 |     72020
     8500 |      31 |       0 |          1216 |     71920
     8600 |      31 |       0 |          1216 |     71820
     8700 |      31 |       0 |          1216 |     71720
     8800 |      31 |       0 |          1216 |     71620
     8900 |      31 |       0 |          1216 |     71520
     9000 |      31 |       0 |          1216 |     71420
     9100 |      31 |       0 |          1216 |     71320
     9200 |      31 |       0 |          1216 |     71220
     9300 |      31 |       0 |          1216 |     71120
     9400 |      31 |       0 |          1223 |     71020
     9500 |      31 |       0 |          1254 |     70920
     9600 |      32 |       0 |          1283 |     70820
     9700 |      32 |       0 |          1311 |     70720
     9800 |      32 |       0 |          1340 |     70620
     9900 |      33 |       0 |          1370 |     70520
    10000 |      33 |       0 |          1394 |     70420
    10100 |      33 |       0 |          1420 |     70320
    10200 |      33 |       0 |          1421 |     70220
    10300 |      33 |       0 |          1421 |     70120
    10400 |      33 |       0 |          1421 |     70020
    10500 |      33 |       0 |          1430 |     69920
    10600 |      34 |       0 |          1462 |     69820
    10700 |      34 |       0 |          1507 |     69720
    10800 |      35 |       0 |          1552 |     69620
    10900 |      35 |       0 |          1598 |     69520
    11000 |      36 |       0 |          1645 |     69420
    11100 |      36 |       0 |          1686 |     69320
    11200 |      37 |       0 |          1734 |     69220
    11300 |      37 |       0 |          1778 |     69120
    11400 |      38 |       0 |          1821 |     69020
    11500 |      38 |       0 |          1870 |     68920
    11600 |      38 |       0 |          1908 |     68820
    11700 |      38 |       0 |          1946 |     68720
    11800 |      38 |       0 |          1988 |     68620
    11900 |      38 |       0 |          1988 |     68520
    12000 |      38 |       0 |          1988 |     68420
    12100 |      38 |       0 |          1988 |     68320
    12200 |      38 |       0 |          1988 |     68220
    12300 |      38 |       0 |          1988 |     68120
    12400 |      38 |       0 |          1988 |     68020
    12500 |      38 |       0 |          1988 |     67920
    12600 |      38 |       0 |          1988 |     67820
    12700 |      38 |       0 |          1988 |     67720
    12800 |      38 |       0 |          1988 |     67620
    12900 |      38 |       0 |          1988 |     67520
    13000 |      38 |       0 |          1988 |     67420
    13100 |      38 |       0 |          1988 |     67320
    13200 |      38 |       0 |          1988 |     67220
    13300 |      38 |       0 |          1988 |     67120
    13400 |      38 |       0 |          1988 |     67020
    13500 |      38 |       0 |          1988 |     66920
    13600 |      38 |       0 |          1988 |     66820
    13700 |      38 |       0 |          1988 |     66720
    13800 |      38 |       0 |          1988 |     66620
    13900 |      38 |       0 |          1988 |     66520
    14000 |      38 |       0 |          1988 |     66420
    14100 |      38 |       0 |          1991 |     66320
    14200 |      39 |       0 |          1994 |     66220
    14300 |      39 |       0 |          2036 |     66120
    14400 |      39 |       0 |          2083 |     66020
    14500 |      39 |       0 |          2119 |     65920
    14600 |      39 |       0 |          2160 |     65820
    14700 |      39 |       0 |          2213 |     65720
    14800 |      40 |       0 |          2254 |     65620
    14900 |      40 |       0 |          2298 |     65520
    15000 |      40 |       0 |          2354 |     65420
    15100 |      40 |       0 |          2390 |     65320
    15200 |      40 |       0 |          2430 |     65220
    15300 |      40 |       0 |          2472 |     65120
    15400 |      40 |       0 |          2508 |     65020
    15500 |      41 |       0 |          2514 |     64920
    15600 |      41 |       0 |          2514 |     64820
    15700 |      41 |       0 |          2514 |     64720
    15800 |      41 |       0 |          2514 |     64620
    15900 |      41 |       0 |          2514 |     64520
    16000 |      41 |       0 |          2514 |     64420
    16100 |      41 |       0 |          2514 |     64320
    16200 |      41 |       0 |          2514 |     64220
    16300 |      41 |       0 |          2514 |     64120
    16400 |      41 |       0 |          2514 |     64020
    16500 |      41 |       0 |          2514 |     63920
    16600 |      41 |       0 |          2514 |     63820
    16700 |      41 |       0 |          2517 |     63720
    16800 |      41 |       0 |          2519 |     63620
    16900 |      41 |       0 |          2548 |     63520
    17000 |      41 |       0 |          2589 |     63420
    17100 |      41 |       0 |          2626 |     63320
    17200 |      41 |       0 |          2660 |     63220
    17300 |      42 |       0 |          2690 |     63120
    17400 |      42 |       0 |          2730 |     63020
    17500 |      42 |       0 |          2763 |     62920
    17600 |      42 |       0 |          2799 |     62820
    17700 |      43 |       0 |          2836 |     62720
    17800 |      43 |       0 |          2870 |     62620
    17900 |      43 |       0 |          2901 |     62520
    18000 |      43 |       0 |          2944 |     62420
    18100 |      43 |       0 |          2980 |     62320
    18200 |      43 |       0 |          3016 |     62220
    18300 |      43 |       0 |          3036 |     62120
    18400 |      43 |       0 |          3036 |     62020
    18500 |      43 |       0 |          3036 |     61920
    18600 |      43 |       0 |          3036 |     61820
    18700 |      43 |       0 |          3036 |     61720
    18800 |      43 |       0 |          3036 |     61620
    18900 |      43 |       0 |          3036 |     61520
    19000 |      43 |       0 |          3036 |     61420
    19100 |      43 |       0 |          3036 |     61320
    19200 |      43 |       0 |          3036 |     61220
    19300 |      43 |       0 |          3036 |     61120
    19400 |      43 |       0 |          3036 |     61020
    19500 |      43 |       0 |          3036 |     60920
    19600 |      43 |       0 |          3036 |     60820
    19700 |      43 |       0 |          3036 |     60720
    19800 |      43 |       0 |          3036 |     60620
    19900 |      43 |       0 |          3036 |     60520
    20000 |      43 |       0 |          3036 |     60420
    20100 |      43 |       0 |          3045 |     60320
    20200 |      43 |       0 |          3075 |     60220
    20300 |      43 |       0 |          3107 |     60120
    20400 |      43 |       0 |          3140 |     60020
    20500 |      43 |       0 |          3174 |     59920
    20600 |      43 |       0 |          3198 |     59820
    20700 |      43 |       0 |          3225 |     59720
    20800 |      44 |       0 |          3246 |     59620
    20900 |      44 |       0 |          3278 |     59520
    21000 |      44 |       0 |          3310 |     59420
    21100 |      44 |       0 |          3344 |     59320
    21200 |      44 |       0 |          3374 |     59220
    21300 |      44 |       0 |          3406 |     59120
    21400 |      44 |       0 |          3432 |     59020
    21500 |      44 |       0 |          3456 |     58920
    21600 |      44 |       0 |          3460 |     58820
    21700 |      44 |       0 |          3460 |     58720
    21800 |      44 |       0 |          3460 |     58620
    21900 |      44 |       0 |          3460 |     58520
    22000 |      44 |       0 |          3460 |     58420
    22100 |      44 |       0 |          3460 |     58320
    22200 |      44 |       0 |          3460 |     58220
    22300 |      44 |       0 |          3460 |     58120
    22400 |      44 |       0 |          3460 |     58020
    22500 |      44 |       0 |          3460 |     57920
    22600 |      44 |       0 |          3460 |     57820
    22700 |      44 |       0 |          3460 |     57720
    22800 |      44 |       0 |          3460 |     57620
    22900 |      44 |       0 |          3460 |     57520
    23000 |      44 |       0 |          3460 |     57420
    23100 |      44 |       0 |          3460 |     57320
    23200 |      44 |       0 |          3460 |     57220
    23300 |      44 |       0 |          3460 |     57120
    23400 |      44 |       0 |          3460 |     57020
    23500 |      44 |       0 |          3460 |     56920
    23600 |      44 |       0 |          3460 |     56820
    23700 |      44 |       0 |          3460 |     56720
    23800 |      44 |       0 |          3469 |     56620
    23900 |      45 |       0 |          3488 |     56520
    24000 |      46 |       0 |          3508 |     56420
    24100 |      46 |       0 |          3534 |     56320
    24200 |      48 |       0 |          3559 |     56220
    24300 |      49 |       0 |          3585 |     56120
    24400 |      50 |       0 |          3609 |     56020
