OpenROAD e69d93ffb92e02e755ed4277376296f3deaaa8d9 
Features included (+) or not (-): +GPU +GUI +Python
This program is licensed under the BSD-3 license. See the LICENSE file for details.
Components of this program may be licensed under more restrictive licenses which must be honored.
[INFO ORD-0030] Using 8 thread(s).
source /home/fetzfs_projects/MLBuf/flows/OpenROAD-flow-scripts/flow/platforms/nangate45/setRC.tcl
Perform port buffering...
[INFO RSZ-0027] Inserted 19 input buffers.
[INFO RSZ-0028] Inserted 26 output buffers.
Perform buffer insertion and gate resizing...
repair_design -verbose
[INFO RSZ-0058] Using max wire length 640um.
Iteration | Resized | Buffers | Nets repaired | Remaining
---------------------------------------------------------
        0 |       0 |       0 |             0 |     80420
      100 |       3 |       0 |            83 |     80320
      200 |       6 |       0 |           157 |     80220
      300 |      10 |       0 |           222 |     80120
      400 |      12 |       0 |           293 |     80020
      500 |      17 |       0 |           350 |     79920
      600 |      26 |       0 |           368 |     79820
      700 |      32 |       0 |           389 |     79720
      800 |      35 |       0 |           422 |     79620
      900 |      38 |       0 |           448 |     79520
     1000 |      39 |       0 |           485 |     79420
     1100 |      40 |       0 |           523 |     79320
     1200 |      42 |       0 |           556 |     79220
     1300 |      46 |       0 |           574 |     79120
     1400 |      50 |       0 |           593 |     79020
     1500 |      53 |       0 |           617 |     78920
     1600 |      55 |       0 |           632 |     78820
     1700 |      60 |       0 |           657 |     78720
     1800 |      60 |       0 |           681 |     78620
     1900 |      61 |       0 |           703 |     78520
     2000 |      63 |       0 |           713 |     78420
     2100 |      64 |       0 |           725 |     78320
     2200 |      65 |       0 |           737 |     78220
     2300 |      68 |       0 |           749 |     78120
     2400 |      69 |       0 |           785 |     78020
     2500 |      72 |       0 |           800 |     77920
     2600 |      74 |       0 |           816 |     77820
     2700 |      77 |       0 |           825 |     77720
     2800 |      81 |       0 |           839 |     77620
     2900 |      81 |       0 |           850 |     77520
     3000 |      84 |       0 |           856 |     77420
     3100 |      88 |       0 |           862 |     77320
     3200 |      90 |       0 |           868 |     77220
     3300 |      93 |       0 |           875 |     77120
     3400 |      95 |       0 |           882 |     77020
     3500 |      99 |       0 |           894 |     76920
     3600 |     103 |       0 |           914 |     76820
     3700 |     109 |       0 |           916 |     76720
     3800 |     114 |       0 |           922 |     76620
     3900 |     118 |       0 |           928 |     76520
     4000 |     123 |       0 |           934 |     76420
     4100 |     129 |       0 |           939 |     76320
     4200 |     132 |       0 |           945 |     76220
     4300 |     132 |       0 |           950 |     76120
     4400 |     132 |       0 |           972 |     76020
     4500 |     134 |       0 |           976 |     75920
     4600 |     136 |       0 |           979 |     75820
     4700 |     137 |       0 |           983 |     75720
     4800 |     142 |       0 |           986 |     75620
     4900 |     144 |       0 |           990 |     75520
     5000 |     149 |       0 |           993 |     75420
     5100 |     150 |       0 |           995 |     75320
     5200 |     157 |       0 |           996 |     75220
     5300 |     160 |       0 |          1001 |     75120
     5400 |     163 |       0 |          1005 |     75020
     5500 |     163 |       0 |          1005 |     74920
     5600 |     163 |       0 |          1005 |     74820
     5700 |     163 |       0 |          1005 |     74720
     5800 |     163 |       0 |          1005 |     74620
     5900 |     163 |       0 |          1009 |     74520
     6000 |     170 |       0 |          1032 |     74420
     6100 |     183 |       0 |          1052 |     74320
     6200 |     191 |       0 |          1065 |     74220
     6300 |     201 |       0 |          1077 |     74120
     6400 |     204 |       0 |          1089 |     74020
     6500 |     210 |       0 |          1098 |     73920
     6600 |     213 |       0 |          1100 |     73820
     6700 |     213 |       0 |          1101 |     73720
     6800 |     216 |       0 |          1113 |     73620
     6900 |     220 |       0 |          1128 |     73520
     7000 |     226 |       0 |          1148 |     73420
     7100 |     230 |       0 |          1169 |     73320
     7200 |     234 |       0 |          1183 |     73220
     7300 |     237 |       0 |          1197 |     73120
     7400 |     239 |       0 |          1209 |     73020
     7500 |     241 |       0 |          1223 |     72920
     7600 |     243 |       0 |          1236 |     72820
     7700 |     245 |       0 |          1249 |     72720
     7800 |     249 |       0 |          1264 |     72620
     7900 |     254 |       0 |          1283 |     72520
     8000 |     254 |       0 |          1283 |     72420
     8100 |     254 |       0 |          1283 |     72320
     8200 |     254 |       0 |          1283 |     72220
     8300 |     254 |       0 |          1283 |     72120
     8400 |     254 |       0 |          1283 |     72020
     8500 |     254 |       0 |          1283 |     71920
     8600 |     254 |       0 |          1283 |     71820
     8700 |     254 |       0 |          1283 |     71720
     8800 |     254 |       0 |          1283 |     71620
     8900 |     254 |       0 |          1283 |     71520
     9000 |     254 |       0 |          1283 |     71420
     9100 |     254 |       0 |          1283 |     71320
     9200 |     254 |       0 |          1283 |     71220
     9300 |     254 |       0 |          1283 |     71120
     9400 |     254 |       0 |          1290 |     71020
     9500 |     254 |       0 |          1327 |     70920
     9600 |     257 |       0 |          1375 |     70820
     9700 |     258 |       0 |          1419 |     70720
     9800 |     258 |       0 |          1467 |     70620
     9900 |     259 |       0 |          1515 |     70520
    10000 |     263 |       0 |          1559 |     70420
    10100 |     265 |       0 |          1600 |     70320
    10200 |     265 |       0 |          1601 |     70220
    10300 |     265 |       0 |          1601 |     70120
    10400 |     265 |       0 |          1601 |     70020
    10500 |     265 |       0 |          1610 |     69920
    10600 |     265 |       0 |          1645 |     69820
    10700 |     265 |       0 |          1701 |     69720
    10800 |     265 |       0 |          1757 |     69620
    10900 |     266 |       0 |          1812 |     69520
    11000 |     266 |       0 |          1863 |     69420
    11100 |     267 |       0 |          1917 |     69320
    11200 |     268 |       0 |          1971 |     69220
    11300 |     268 |       0 |          2029 |     69120
    11400 |     269 |       0 |          2081 |     69020
    11500 |     271 |       0 |          2139 |     68920
    11600 |     272 |       0 |          2193 |     68820
    11700 |     273 |       0 |          2241 |     68720
    11800 |     274 |       0 |          2292 |     68620
    11900 |     274 |       0 |          2292 |     68520
    12000 |     274 |       0 |          2292 |     68420
    12100 |     274 |       0 |          2292 |     68320
    12200 |     274 |       0 |          2292 |     68220
    12300 |     274 |       0 |          2292 |     68120
    12400 |     274 |       0 |          2292 |     68020
    12500 |     274 |       0 |          2292 |     67920
    12600 |     274 |       0 |          2292 |     67820
    12700 |     274 |       0 |          2292 |     67720
    12800 |     274 |       0 |          2292 |     67620
    12900 |     274 |       0 |          2292 |     67520
    13000 |     274 |       0 |          2292 |     67420
    13100 |     274 |       0 |          2292 |     67320
    13200 |     274 |       0 |          2292 |     67220
    13300 |     274 |       0 |          2292 |     67120
    13400 |     274 |       0 |          2292 |     67020
    13500 |     274 |       0 |          2292 |     66920
    13600 |     274 |       0 |          2292 |     66820
    13700 |     274 |       0 |          2292 |     66720
    13800 |     274 |       0 |          2292 |     66620
    13900 |     274 |       0 |          2292 |     66520
    14000 |     274 |       0 |          2292 |     66420
    14100 |     277 |       0 |          2295 |     66320
    14200 |     284 |       0 |          2301 |     66220
    14300 |     284 |       0 |          2366 |     66120
    14400 |     284 |       0 |          2428 |     66020
    14500 |     285 |       0 |          2480 |     65920
    14600 |     285 |       0 |          2543 |     65820
    14700 |     285 |       0 |          2619 |     65720
    14800 |     285 |       0 |          2683 |     65620
    14900 |     287 |       0 |          2752 |     65520
    15000 |     287 |       0 |          2824 |     65420
    15100 |     288 |       0 |          2881 |     65320
    15200 |     288 |       0 |          2946 |     65220
    15300 |     290 |       0 |          3010 |     65120
    15400 |     290 |       0 |          3071 |     65020
    15500 |     291 |       0 |          3081 |     64920
    15600 |     291 |       0 |          3081 |     64820
    15700 |     291 |       0 |          3081 |     64720
    15800 |     291 |       0 |          3081 |     64620
    15900 |     291 |       0 |          3081 |     64520
    16000 |     291 |       0 |          3081 |     64420
    16100 |     291 |       0 |          3081 |     64320
    16200 |     291 |       0 |          3081 |     64220
    16300 |     291 |       0 |          3081 |     64120
    16400 |     291 |       0 |          3081 |     64020
    16500 |     291 |       0 |          3081 |     63920
    16600 |     291 |       0 |          3081 |     63820
    16700 |     293 |       0 |          3085 |     63720
    16800 |     294 |       0 |          3087 |     63620
    16900 |     296 |       0 |          3120 |     63520
    17000 |     296 |       0 |          3165 |     63420
    17100 |     296 |       0 |          3212 |     63320
    17200 |     296 |       0 |          3255 |     63220
    17300 |     296 |       0 |          3292 |     63120
    17400 |     296 |       0 |          3344 |     63020
    17500 |     296 |       0 |          3388 |     62920
    17600 |     299 |       0 |          3432 |     62820
    17700 |     300 |       0 |          3476 |     62720
    17800 |     302 |       0 |          3520 |     62620
    17900 |     303 |       0 |          3559 |     62520
    18000 |     304 |       0 |          3613 |     62420
    18100 |     305 |       0 |          3658 |     62320
    18200 |     305 |       0 |          3705 |     62220
    18300 |     306 |       0 |          3728 |     62120
    18400 |     306 |       0 |          3728 |     62020
    18500 |     306 |       0 |          3728 |     61920
    18600 |     306 |       0 |          3728 |     61820
    18700 |     306 |       0 |          3728 |     61720
    18800 |     306 |       0 |          3728 |     61620
    18900 |     306 |       0 |          3729 |     61520
    19000 |     306 |       0 |          3729 |     61420
    19100 |     306 |       0 |          3730 |     61320
    19200 |     306 |       0 |          3730 |     61220
    19300 |     306 |       0 |          3730 |     61120
    19400 |     306 |       0 |          3730 |     61020
    19500 |     306 |       0 |          3730 |     60920
    19600 |     306 |       0 |          3730 |     60820
    19700 |     306 |       0 |          3730 |     60720
    19800 |     306 |       0 |          3730 |     60620
    19900 |     306 |       0 |          3730 |     60520
    20000 |     306 |       0 |          3730 |     60420
    20100 |     306 |       0 |          3739 |     60320
    20200 |     306 |       0 |          3771 |     60220
    20300 |     308 |       0 |          3811 |     60120
    20400 |     308 |       0 |          3848 |     60020
    20500 |     308 |       0 |          3891 |     59920
    20600 |     308 |       0 |          3923 |     59820
    20700 |     309 |       0 |          3958 |     59720
    20800 |     310 |       0 |          3996 |     59620
    20900 |     311 |       0 |          4036 |     59520
    21000 |     313 |       0 |          4065 |     59420
    21100 |     313 |       0 |          4106 |     59320
    21200 |     314 |       0 |          4143 |     59220
    21300 |     316 |       0 |          4179 |     59120
    21400 |     319 |       0 |          4212 |     59020
    21500 |     319 |       0 |          4250 |     58920
    21600 |     319 |       0 |          4265 |     58820
    21700 |     319 |       0 |          4265 |     58720
    21800 |     319 |       0 |          4265 |     58620
    21900 |     319 |       0 |          4265 |     58520
    22000 |     319 |       0 |          4265 |     58420
    22100 |     319 |       0 |          4265 |     58320
    22200 |     319 |       0 |          4265 |     58220
    22300 |     319 |       0 |          4265 |     58120
    22400 |     319 |       0 |          4265 |     58020
    22500 |     319 |       0 |          4265 |     57920
    22600 |     319 |       0 |          4265 |     57820
    22700 |     319 |       0 |          4265 |     57720
    22800 |     319 |       0 |          4265 |     57620
    22900 |     319 |       0 |          4265 |     57520
    23000 |     319 |       0 |          4265 |     57420
    23100 |     319 |       0 |          4265 |     57320
    23200 |     319 |       0 |          4265 |     57220
    23300 |     319 |       0 |          4265 |     57120
    23400 |     319 |       0 |          4265 |     57020
    23500 |     319 |       0 |          4265 |     56920
    23600 |     319 |       0 |          4265 |     56820
    23700 |     319 |       0 |          4265 |     56720
    23800 |     319 |       0 |          4275 |     56620
    23900 |     322 |       0 |          4295 |     56520
    24000 |     329 |       0 |          4316 |     56420
    24100 |     333 |       0 |          4344 |     56320
    24200 |     339 |       0 |          4369 |     56220
    24300 |     348 |       0 |          4397 |     56120
    24400 |     355 |       0 |          4423 |     56020
