stage,platform,design,variant,eligible,selected,detail_a,detail_b
cts,asap7,aes,base,467,16,14,2
placement,asap7,aes,base,80,45,45,0
routing,asap7,aes,base,,,,
cts,asap7,jpeg,base_tcp540,8538,32,32,0
placement,asap7,jpeg,base_tcp540,256,129,129,0
routing,asap7,jpeg,base_tcp540,,,,
cts,asap7,swerv_wrapper,base_tcp1455,18690,32,29,3
placement,asap7,swerv_wrapper,base_tcp1455,251,80,80,0
routing,asap7,swerv_wrapper,base_tcp1455,,,,
cts,nangate45,aes,watermarking-test1,,,,
placement,nangate45,aes,watermarking-test1,0,0,0,0
routing,nangate45,aes,watermarking-test1,,,,
cts,nangate45,ariane136,base_tcp3p5,,,,
placement,nangate45,ariane136,base_tcp3p5,,,,
routing,nangate45,ariane136,base_tcp3p5,,,,
cts,nangate45,jpeg,watermarking-test1,,,,
placement,nangate45,jpeg,watermarking-test1,,,,
routing,nangate45,jpeg,watermarking-test1,,,,
cts,nangate45,swerv_wrapper,base,,,,
placement,nangate45,swerv_wrapper,base,,,,
routing,nangate45,swerv_wrapper,base,,,,
