platform,design,variant,method,dWNS,dTNS,dRWL,dPower,dRuntime,Pc
asap7,aes,place_ordering:base-ppa-v2; cts_v2:base-ppa,All-stage,0.058596622998604894,0.30994474051641074,0.0006047891742737805,9.830006422262504e-05,-0.5241350172770208,4.336808689942018e-19
asap7,aes,baseline-bufins,Buffer-insertion,,,,,,
asap7,aes,base-ppa,C-only,0.2916036855525051,-0.023627853926176487,0.0003212942488329459,0.00020970680367513955,-0.4607909706818765,1.52587890625e-05
asap7,aes,baseline-cellscatter,Cell-scattering,,,,,,
asap7,aes,base-ppa-v2,P-only,0.058596622998604894,0.30994474051641074,0.0006047891742737805,9.830006422262504e-05,-0.5241350172770208,2.842170943040401e-14
asap7,aes,,R-only,,,,,,
asap7,jpeg,place_ordering:base-tcp540-ppa-v2; cts_v2:base-tcp540-ppa-run2,All-stage,0.12300336302080463,0.05325000505460564,0.00018536368354711945,1.711498416865676e-05,-0.3551066281871778,3.4211388289180104e-49
asap7,jpeg,baseline-bufins,Buffer-insertion,,,,,,
asap7,jpeg,base-tcp540-ppa-run2,C-only,0.0,0.0,0.0,0.0,0.005214732691373677,2.3283064365386963e-10
asap7,jpeg,baseline-cellscatter,Cell-scattering,,,,,,
asap7,jpeg,base-tcp540-ppa-v2,P-only,0.12300336302080463,0.05325000505460564,0.00018536368354711945,1.711498416865676e-05,-0.3551066281871778,1.4693679385278594e-39
asap7,jpeg,,R-only,,,,,,
asap7,swerv_wrapper,place_ordering:base-tcp1455-ppa-v2; cts_v2:base-tcp1455-ppa-run2,All-stage,0.05469295802390107,0.2544092978672418,0.00026738203863361604,-0.0001672607797975332,-0.7457435144804451,1.925929944387236e-34
asap7,swerv_wrapper,baseline-bufins,Buffer-insertion,,,,,,
asap7,swerv_wrapper,base-tcp1455-ppa-run2,C-only,0.10080388276607072,0.33189551881140666,0.000118248162300015,-0.0001363654765228428,-0.3616410671933954,2.3283064365386963e-10
asap7,swerv_wrapper,baseline-cellscatter,Cell-scattering,,,,,,
asap7,swerv_wrapper,base-tcp1455-ppa-v2,P-only,0.05469295802390107,0.2544092978672418,0.00026738203863361604,-0.0001672607797975332,-0.7457435144804451,8.271806125530277e-25
asap7,swerv_wrapper,,R-only,,,,,,
