platform,design,variant,method,dWNS,dTNS,dRWL,dPower,dRuntime,Pc
nangate45,aes,routing_wrong_way:route-wm-wrong-way,All-stage,-0.10968684378709036,-0.004294819459785913,-0.00021889267111599526,0.0001055101530585111,-0.5075900843342704,
nangate45,aes,baseline-bufins,Buffer-insertion,,,,,,
nangate45,aes,,C-only,,,,,,
nangate45,aes,baseline-cellscatter,Cell-scattering,,,,,,
nangate45,aes,,P-only,,,,,,
nangate45,aes,route-wm-wrong-way,R-only,-0.10968684378709036,-0.004294819459785913,-0.00021889267111599526,0.0001055101530585111,-0.5075900843342704,
nangate45,ariane136,,All-stage,,,,,,
nangate45,ariane136,baseline-bufins,Buffer-insertion,,,,,,
nangate45,ariane136,,C-only,,,,,,
nangate45,ariane136,baseline-cellscatter,Cell-scattering,,,,,,
nangate45,ariane136,,P-only,,,,,,
nangate45,ariane136,,R-only,,,,,,
nangate45,jpeg,,All-stage,,,,,,
nangate45,jpeg,baseline-bufins,Buffer-insertion,,,,,,
nangate45,jpeg,,C-only,,,,,,
nangate45,jpeg,baseline-cellscatter,Cell-scattering,,,,,,
nangate45,jpeg,,P-only,,,,,,
nangate45,jpeg,,R-only,,,,,,
nangate45,swerv_wrapper,,All-stage,,,,,,
nangate45,swerv_wrapper,baseline-bufins,Buffer-insertion,,,,,,
nangate45,swerv_wrapper,,C-only,,,,,,
nangate45,swerv_wrapper,baseline-cellscatter,Cell-scattering,,,,,,
nangate45,swerv_wrapper,,P-only,,,,,,
nangate45,swerv_wrapper,,R-only,,,,,,
