platform,design,variant,evidence,stage,value
asap7,aes,pdmarks-all-stage-routed,"Z_R,p_R",post_cts,
asap7,aes,pdmarks-all-stage-routed,r_C,post_cts,
asap7,aes,pdmarks-all-stage-routed,r_P,post_cts,
asap7,aes,pdmarks-all-stage-routed,r_all,post_cts,
asap7,aes,pdmarks-all-stage-routed,"Z_R,p_R",post_drt,
asap7,aes,pdmarks-all-stage-routed,r_C,post_drt,
asap7,aes,pdmarks-all-stage-routed,r_P,post_drt,
asap7,aes,pdmarks-all-stage-routed,r_all,post_drt,
asap7,aes,pdmarks-all-stage-routed,"Z_R,p_R",post_grt,
asap7,aes,pdmarks-all-stage-routed,r_C,post_grt,
asap7,aes,pdmarks-all-stage-routed,r_P,post_grt,
asap7,aes,pdmarks-all-stage-routed,r_all,post_grt,
asap7,aes,pdmarks-all-stage-routed,"Z_R,p_R",post_place,
asap7,aes,pdmarks-all-stage-routed,r_C,post_place,
asap7,aes,pdmarks-all-stage-routed,r_P,post_place,
asap7,aes,pdmarks-all-stage-routed,r_all,post_place,
asap7,jpeg,pdmarks-all-stage-routed,"Z_R,p_R",post_cts,
asap7,jpeg,pdmarks-all-stage-routed,r_C,post_cts,
asap7,jpeg,pdmarks-all-stage-routed,r_P,post_cts,
asap7,jpeg,pdmarks-all-stage-routed,r_all,post_cts,
asap7,jpeg,pdmarks-all-stage-routed,"Z_R,p_R",post_drt,
asap7,jpeg,pdmarks-all-stage-routed,r_C,post_drt,
asap7,jpeg,pdmarks-all-stage-routed,r_P,post_drt,
asap7,jpeg,pdmarks-all-stage-routed,r_all,post_drt,
asap7,jpeg,pdmarks-all-stage-routed,"Z_R,p_R",post_grt,
asap7,jpeg,pdmarks-all-stage-routed,r_C,post_grt,
asap7,jpeg,pdmarks-all-stage-routed,r_P,post_grt,
asap7,jpeg,pdmarks-all-stage-routed,r_all,post_grt,
asap7,jpeg,pdmarks-all-stage-routed,"Z_R,p_R",post_place,
asap7,jpeg,pdmarks-all-stage-routed,r_C,post_place,
asap7,jpeg,pdmarks-all-stage-routed,r_P,post_place,
asap7,jpeg,pdmarks-all-stage-routed,r_all,post_place,
asap7,swerv_wrapper,pdmarks-all-stage-routed,"Z_R,p_R",post_cts,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_C,post_cts,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_P,post_cts,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_all,post_cts,
asap7,swerv_wrapper,pdmarks-all-stage-routed,"Z_R,p_R",post_drt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_C,post_drt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_P,post_drt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_all,post_drt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,"Z_R,p_R",post_grt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_C,post_grt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_P,post_grt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_all,post_grt,
asap7,swerv_wrapper,pdmarks-all-stage-routed,"Z_R,p_R",post_place,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_C,post_place,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_P,post_place,
asap7,swerv_wrapper,pdmarks-all-stage-routed,r_all,post_place,
nangate45,aes,pdmarks-all-stage-routed,"Z_R,p_R",post_cts,
nangate45,aes,pdmarks-all-stage-routed,r_C,post_cts,
nangate45,aes,pdmarks-all-stage-routed,r_P,post_cts,
nangate45,aes,pdmarks-all-stage-routed,r_all,post_cts,
nangate45,aes,pdmarks-all-stage-routed,"Z_R,p_R",post_drt,
nangate45,aes,pdmarks-all-stage-routed,r_C,post_drt,
nangate45,aes,pdmarks-all-stage-routed,r_P,post_drt,
