platform,design,stage,knob,value,eligible,selected,detail_a,detail_b
nangate45,swerv_wrapper,placement,pairs_per_tile,2,,,,
nangate45,swerv_wrapper,placement,pairs_per_tile,4,,,,
nangate45,swerv_wrapper,placement,pairs_per_tile,8,,,,
nangate45,swerv_wrapper,placement,grid,4,,,,
nangate45,swerv_wrapper,placement,grid,6,,,,
nangate45,swerv_wrapper,placement,grid,8,,,,
nangate45,swerv_wrapper,placement,hpwl_eps,50,,,,
nangate45,swerv_wrapper,placement,hpwl_eps,100,,,,
nangate45,swerv_wrapper,placement,hpwl_eps,200,,,,
nangate45,swerv_wrapper,cts,pairs,16,,,,
nangate45,swerv_wrapper,cts,pairs,32,,,,
nangate45,swerv_wrapper,cts,pairs,64,,,,
nangate45,swerv_wrapper,cts,sibling_um,25,,,,
nangate45,swerv_wrapper,cts,sibling_um,50,,,,
nangate45,swerv_wrapper,cts,sibling_um,100,,,,
nangate45,swerv_wrapper,routing,fraction,0.025,,,,
nangate45,swerv_wrapper,routing,fraction,0.05,,,,
nangate45,swerv_wrapper,routing,fraction,0.1,,,,
nangate45,swerv_wrapper,routing,strength,10,,,,
nangate45,swerv_wrapper,routing,strength,100,,,,
nangate45,swerv_wrapper,routing,strength,1000,,,,
asap7,swerv_wrapper,placement,pairs_per_tile,2,,,,
asap7,swerv_wrapper,placement,pairs_per_tile,4,,,,
asap7,swerv_wrapper,placement,pairs_per_tile,8,,,,
asap7,swerv_wrapper,placement,grid,4,,,,
asap7,swerv_wrapper,placement,grid,6,,,,
asap7,swerv_wrapper,placement,grid,8,,,,
asap7,swerv_wrapper,placement,hpwl_eps,50,,,,
asap7,swerv_wrapper,placement,hpwl_eps,100,,,,
asap7,swerv_wrapper,placement,hpwl_eps,200,,,,
asap7,swerv_wrapper,cts,pairs,16,,,,
asap7,swerv_wrapper,cts,pairs,32,,,,
asap7,swerv_wrapper,cts,pairs,64,,,,
asap7,swerv_wrapper,cts,sibling_um,25,,,,
asap7,swerv_wrapper,cts,sibling_um,50,,,,
asap7,swerv_wrapper,cts,sibling_um,100,,,,
asap7,swerv_wrapper,routing,fraction,0.025,,,,
asap7,swerv_wrapper,routing,fraction,0.05,,,,
asap7,swerv_wrapper,routing,fraction,0.1,,,,
asap7,swerv_wrapper,routing,strength,10,,,,
asap7,swerv_wrapper,routing,strength,100,,,,
asap7,swerv_wrapper,routing,strength,1000,,,,
