platform,design,stage,q_s,Z_R,p_R,precision_topK,perturbed,note
asap7,aes,routing,0.01,,,,,missing artifacts
asap7,aes,routing,0.05,,,,,missing artifacts
asap7,aes,routing,0.1,,,,,missing artifacts
asap7,aes,routing,0.2,,,,,missing artifacts
asap7,jpeg,routing,0.01,,,,,missing artifacts
asap7,jpeg,routing,0.05,,,,,missing artifacts
asap7,jpeg,routing,0.1,,,,,missing artifacts
asap7,jpeg,routing,0.2,,,,,missing artifacts
asap7,swerv_wrapper,routing,0.01,,,,,missing artifacts
asap7,swerv_wrapper,routing,0.05,,,,,missing artifacts
asap7,swerv_wrapper,routing,0.1,,,,,missing artifacts
asap7,swerv_wrapper,routing,0.2,,,,,missing artifacts
nangate45,aes,routing,0.01,,,,,missing artifacts
nangate45,aes,routing,0.05,,,,,missing artifacts
nangate45,aes,routing,0.1,,,,,missing artifacts
nangate45,aes,routing,0.2,,,,,missing artifacts
nangate45,ariane136,routing,0.01,,,,,missing artifacts
nangate45,ariane136,routing,0.05,,,,,missing artifacts
nangate45,ariane136,routing,0.1,,,,,missing artifacts
nangate45,ariane136,routing,0.2,,,,,missing artifacts
nangate45,jpeg,routing,0.01,,,,,missing artifacts
nangate45,jpeg,routing,0.05,,,,,missing artifacts
nangate45,jpeg,routing,0.1,,,,,missing artifacts
nangate45,jpeg,routing,0.2,,,,,missing artifacts
nangate45,swerv_wrapper,routing,0.01,,,,,missing artifacts
nangate45,swerv_wrapper,routing,0.05,,,,,missing artifacts
nangate45,swerv_wrapper,routing,0.1,,,,,missing artifacts
nangate45,swerv_wrapper,routing,0.2,,,,,missing artifacts
